seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	32827026	32827122	97	*	X007	81629	32827862	32829924	2063	+	739	upstream	739	TSSK3
chr2	114737129	114737338	210	*	X031	100499194	114735246	114737561	2316	-	0	inside	222	LOC100499194
chr2	114737129	114737338	210	*	X031	440900	114737146	114764887	27742	+	0	overlapStart	0	LINC01191
chr3	23988012	23988030	19	*	X045	28512	23933572	23988053	54482	-	0	inside	22	NKIRAS1
chr3	23988090	23988117	28	*	X046	28512	23933572	23988053	54482	-	36	upstream	36	NKIRAS1
chr3	50383106	50383132	27	*	X047	51364	50378537	50383156	4620	-	0	inside	23	ZMYND10
chr3	50383151	50383200	50	*	X048	51364	50378537	50383156	4620	-	0	overlapStart	0	ZMYND10
chr4	76861957	76861982	26	*	X056	27163	76831808	76862166	30359	-	0	inside	183	NAAA
chr5	98110217	98110232	16	*	X068	503569	98105322	98108788	3467	-	1428	upstream	1428	RGMB-AS1
chr5	98110261	98110298	38	*	X069	503569	98105322	98108788	3467	-	1472	upstream	1472	RGMB-AS1
chr5	134263379	134263605	227	*	X070	100616209	134263729	134263802	74	+	123	upstream	123	NA
chr6	74230031	74230631	601	*	X082	1915	74225473	74230755	5283	-	0	inside	123	EEF1A1
chr6	139695562	139695578	17	*	X086	10370	139693392	139695787	2396	-	0	inside	208	CITED2
chr7	100203427	100203496	70	*	X097	100129845	100187024	100201661	14638	-	1765	upstream	1765	PCOLCE-AS1
chr7	150778047	150778129	83	*	X104	10922	150773708	150777970	4263	-	76	upstream	76	FASTK
chr8	38831585	38831762	178	*	X109	203100	38831668	38846181	14514	+	0	overlapStart	0	HTRA4
chr8	38831847	38832015	169	*	X110	203100	38831668	38846181	14514	+	0	inside	178	HTRA4
chr8	145752578	145752712	135	*	X120	441381	145747761	145752416	4656	-	161	upstream	161	LRRC24
chr11	62559713	62559789	77	*	X142	79064	62557787	62559486	1700	-	226	upstream	226	TMEM223
chr12	54674875	54674939	65	*	X153	23468	54624731	54673915	49185	-	959	upstream	959	CBX5
chr12	125398535	125398733	199	*	X159	100847004	125400093	125400205	113	+	1359	upstream	1359	MIR5188
chr14	75518325	75518338	14	*	X163	27030	75480467	75518235	37769	-	89	upstream	89	MLH3
chr14	75518377	75518400	24	*	X164	27030	75480467	75518235	37769	-	141	upstream	141	MLH3
chr16	2653168	2653205	38	*	X180	652276	2653385	2680495	27111	+	179	upstream	179	LOC652276
chr16	4896623	4896628	6	*	X184	29855	4896666	4932363	35698	+	37	upstream	37	UBN1
chr16	55542861	55542869	9	*	X187	54947	55542913	55620582	77670	+	43	upstream	43	LPCAT2
chr16	70286012	70286023	12	*	X188	118460	70284134	70285833	1700	-	178	upstream	178	EXOSC6
chr17	7477321	7477344	24	*	X204	652965	7478031	7478165	135	+	686	upstream	686	SNORA48
chr17	62501802	62501834	33	*	X214	90799	62503158	62534062	30905	+	1323	upstream	1323	CEP95
chr19	50000713	50000751	39	*	X255	84546	50000976	50001062	87	+	224	upstream	224	SNORD35B
chr20	30135072	30135145	74	*	X263	100101490	30135185	30136019	835	+	39	upstream	39	MCTS2P
chr20	30135259	30135282	24	*	X264	100101490	30135185	30136019	835	+	0	inside	73	MCTS2P
chr20	47895319	47895377	59	*	X268	100113393	47896850	47896952	103	+	1472	upstream	1472	SNORD12B
chr20	47895319	47895377	59	*	X268	26765	47895482	47895560	79	+	104	upstream	104	SNORD12C
chr20	47895319	47895377	59	*	X268	57169	47862439	47894756	32318	-	562	upstream	562	ZNFX1
chr20	47895319	47895377	59	*	X268	692057	47897220	47897309	90	+	1842	upstream	1842	SNORD12
chr20	62325159	62325185	27	*	X270	8771	62327131	62330051	2921	+	1945	upstream	1945	TNFRSF6B
chr20	62325216	62325228	13	*	X271	8771	62327131	62330051	2921	+	1902	upstream	1902	TNFRSF6B
chrX	12993351	12993416	66	*	X277	7114	12993226	12995346	2121	+	0	inside	124	TMSB4X
