_ 1623284737959
addTracksButton add custom tracks
c chr1
c chr1
clade mammal
ct_ENCFF621CZO_5319 pack
ct_SRR3414636uniqsortedbam_4446 pack
ct_intersectwithDeepZ_3877 pack
ctfile_hg19 ../trash/ct/ct_genome_20133_159ef0.bed
ctfile_mm9 ../trash/ct/ct_genome_54bc9_e0fdd0.bed
db hg19
dinkL 2.0
dinkR 2.0
expOrder_cons100way phyloP100wayAll 
expOrder_cons30way phyloP30wayPlacental 
expOrder_hub_2918609_ENCSR000FCV hub_2918609_ENCFF762OWB 
expOrder_wgEncodeReg wgEncodeRegMarkH3k27ac 
goButton go
hgFind.matches 
hgHubConnect.hub.2918609 1
hgS_loadUrlName 
hgS_otherUserName 
hgS_otherUserSessionName 
hgS_saveLocalFileCompress none
hgS_saveLocalFileName session
hgctNoRemove_navDest ../cgi-bin/hgTracks
hgsid 1124321089_AaQNSECDPrClbZtpecd8UVcMEmie
hgta_group user
hgtgroup_compGeno_close 0
hgtgroup_covid_close 0
hgtgroup_denisova_close 1
hgtgroup_expression_close 0
hgtgroup_genes_close 0
hgtgroup_hub_2918609_close 0
hgtgroup_map_close 0
hgtgroup_neandertal_close 1
hgtgroup_phenDis_close 0
hgtgroup_phenoAllele_close 0
hgtgroup_pub_close 0
hgtgroup_regulation_close 0
hgtgroup_rep_close 0
hgtgroup_rna_close 0
hgtgroup_user_close 0
hgtgroup_varRep_close 0
knownGene.label.gene 1
l 1479068
l 1479068
lastPosition chr1:1479069-1479089
lastVirtModeExtraState 
lastVirtModeType default
o 1479074
oldPosition chr1:1479069-1479089
org Human
pix 950
position chr1:1479069-1479089
position.hg19 lastVirtModeType=default&lastVirtModeExtraState=&virtModeType=default&virtMode=0&nonVirtPosition=&position=chr1%3A1479069%2D1479089
position.hg38 lastVirtModeType=default&lastVirtModeExtraState=&virtModeType=default&virtMode=0&nonVirtPosition=&position=chr11%3A60788981%2D74297642
position.mm9 lastVirtModeType=default&lastVirtModeExtraState=&virtModeType=default&virtMode=0&nonVirtPosition=&position=chr12%3A31272098%2D31272104
r 1479089
r 1479089
refSeqComposite.label.gene 1
simOrder_cons100way phyloP100wayAll 
simOrder_cons30way phyloP30wayPlacental 
simOrder_hub_2918609_ENCSR000FCV hub_2918609_ENCFF762OWB 
simOrder_wgEncodeReg wgEncodeRegMarkH3k27ac 
t 1479084
trackHubs 2918609
virtMode 0
virtModeType default
xenoRefGene pack
xenoRefGene.label.gene 1
dbSnp153Composite pack
cons100way full
cpgIslandExt pack
fixSeqLiftOverPsl pack
gtexGeneV8 pack
pubs dense
rmsk dense
knownGene pack
wgEncodeReg full
wgEncodeRegMarkH3k27ac full
wgEncodeRegDnaseClustered dense
wgEncodeRegTfbsClusteredV3 dense
refSeqComposite dense
wgEncodeAwgDnaseMasterSites dense
wgEncodeAwgDnaseUniform dense
encTfChipPk dense
wgEncodeAwgTfbsUniform dense
wgEncodeOpenChromSynth dense
transMapEnsemblV5 pack
transMapRefSeqV5 pack
wgEncodeGencodeV37lift37 pack
altSeqLiftOverPsl dense
avada pack
wgEncodeBroadHmm dense
wgEncodeBroadHistone dense
wgEncodeCaltechRnaSeq dense
cytoBandIdeo dense
wgEncodeCshlLongRnaSeq dense
dbVar_common pack
dbVar_conflict pack
caddDel dense
wgEncodeDukeAffyExon dense
wgEncodeOpenChromDnase dense
wgEncodeGisChiaPet dense
wgEncodeGisRnaSeq dense
gnomadPLI pack
gnomadCoverage dense
gnomadExomes squish
gnomadGenomes squish
gnomadPext full
gnomadStructuralVariants dense
wgEncodeHaibMethylRrbs dense
wgEncodeHaibMethyl450 dense
wgEncodeHaibRnaSeq dense
caddIns dense
laminB1 dense
lincRNAsAllCellTypeTopView dense
lincRNAsTranscripts pack
mastermind pack
laminB1Lads dense
cadd dense
wgEncodeSunyAlbanyGeneSt dense
wgEncodeSunyAlbanyTiling dense
wgEncodeSunyRipSeq dense
wgEncodeSydhHistone dense
wgEncodeSydhRnaSeq dense
targetScanMiRnaSitesV72 pack
wgEncodeUmassDekker5C dense
wgEncodeOpenChromFaire dense
wgEncodeUncBsuProtGenc dense
wgEncodeUncBsuProt dense
wgEncodeUw5C dense
wgEncodeUwAffyExonArray dense
wgEncodeUwDgf dense
wgEncodeUwDnase dense
wgEncodeUwHistone dense
defaultsSet on
